timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
0.00,,,,,,,,,,,,,,,,,,,
1.00,,,,,,,,,,,,,,,,,,,
2.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,2,E2_0,55.94,5.10,!2,0.00,taxi,0.00,112.30,98.40
3.00,147.54,3063.54,0.74,1.37,0.07,90.00,HBEFA3/PC_G_EU4,0.00,977.17,2,E2_0,63.32,6.64,!2,1.54,taxi,0.00,113.84,98.40
3.00,164.78,2624.72,0.81,1.20,0.07,180.00,HBEFA3/PC_G_EU4,0.00,837.22,3,E5_0,55.94,5.10,!3,0.00,taxi,0.00,98.40,194.90
4.00,132.05,3387.32,0.68,1.48,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1080.44,2,E2_0,63.27,9.59,!2,2.95,taxi,0.00,116.79,98.40
4.00,147.37,3201.94,0.75,1.43,0.07,180.00,HBEFA3/PC_G_EU4,0.00,1021.31,3,E5_0,64.20,6.83,!3,1.73,taxi,0.00,98.40,193.17
4.00,164.78,2624.72,0.81,1.20,0.07,0.00,HBEFA3/PC_G_EU4,0.00,837.22,4,-E7_0,55.94,5.10,!4,0.00,taxi,0.00,101.60,-94.90
5.00,132.37,4827.67,0.72,2.11,0.10,90.00,HBEFA3/PC_G_EU4,0.00,1539.82,2,E2_0,66.94,14.57,!2,4.99,taxi,0.00,121.77,98.40
5.00,131.16,3554.73,0.68,1.55,0.07,180.00,HBEFA3/PC_G_EU4,0.00,1133.83,3,E5_0,63.84,10.06,!3,3.23,taxi,0.00,98.40,189.94
5.00,148.19,3518.08,0.76,1.57,0.08,0.00,HBEFA3/PC_G_EU4,0.00,1122.15,4,-E7_0,65.90,7.18,!4,2.08,taxi,0.00,101.60,-92.82
6.00,111.36,4784.10,0.62,2.05,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1525.92,2,E2_0,65.61,21.13,!2,6.55,taxi,0.00,128.33,98.40
6.00,146.89,6066.30,0.81,2.67,0.13,180.00,HBEFA3/PC_G_EU4,0.00,1934.88,3,E5_0,69.69,15.88,!3,5.82,taxi,0.00,98.40,184.12
6.00,147.02,5322.22,0.80,2.35,0.11,0.00,HBEFA3/PC_G_EU4,0.00,1697.56,4,-E7_0,69.14,11.84,!4,4.66,taxi,0.00,101.60,-88.16
7.00,112.68,5810.09,0.65,2.48,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1853.15,2,E2_0,67.12,29.40,!2,8.28,taxi,0.00,136.60,98.40
7.00,142.39,7222.67,0.82,3.15,0.15,180.00,HBEFA3/PC_G_EU4,0.00,2303.69,3,E5_0,69.93,24.10,!3,8.22,taxi,0.00,98.40,175.90
7.00,107.30,4267.73,0.59,1.82,0.08,0.00,HBEFA3/PC_G_EU4,0.00,1361.23,4,-E7_0,64.50,17.86,!4,6.02,taxi,0.00,101.60,-82.14
7.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,7,E1_0,55.94,5.10,!7,0.00,taxi,0.00,5.10,98.40
8.00,112.68,6657.96,0.67,2.84,0.13,90.00,HBEFA3/PC_G_EU4,0.00,2123.57,2,E2_0,68.06,39.42,!2,10.02,taxi,0.00,146.62,98.40
8.00,144.06,8399.40,0.86,3.65,0.18,180.00,HBEFA3/PC_G_EU4,0.00,2679.00,3,E5_0,70.56,34.61,!3,10.51,taxi,0.00,98.40,165.39
8.00,133.62,6797.18,0.77,2.95,0.14,0.00,HBEFA3/PC_G_EU4,0.00,2167.98,4,-E7_0,69.08,26.08,!4,8.22,taxi,0.00,101.60,-73.92
8.00,148.69,3619.69,0.76,1.61,0.08,90.00,HBEFA3/PC_G_EU4,0.00,1154.55,7,E1_0,66.38,7.28,!7,2.18,taxi,0.00,7.28,98.40
9.00,154.15,9604.78,0.93,4.17,0.20,90.00,HBEFA3/PC_G_EU4,0.00,3063.45,2,E2_0,71.49,51.74,!2,12.32,taxi,0.00,158.94,98.40
9.00,166.34,10407.68,1.01,4.54,0.22,180.00,HBEFA3/PC_G_EU4,0.00,3319.53,3,E5_0,72.27,47.53,!3,12.93,taxi,0.00,98.40,152.47
9.00,142.85,8332.35,0.85,3.62,0.17,0.00,HBEFA3/PC_G_EU4,0.00,2657.61,4,-E7_0,70.47,36.57,!4,10.49,taxi,0.00,101.60,-63.43
9.00,143.65,5133.05,0.78,2.26,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1637.22,7,E1_0,68.52,11.90,!7,4.62,taxi,0.00,11.90,98.40
9.00,164.78,2624.72,0.81,1.20,0.07,180.00,HBEFA3/PC_G_EU4,0.00,837.22,9,E4_0,55.94,5.10,!9,0.00,taxi,0.00,98.40,294.90
10.00,116.72,8320.79,0.73,3.52,0.17,90.00,HBEFA3/PC_G_EU4,0.00,2653.92,2,E2_0,69.73,65.70,!2,13.96,taxi,0.00,172.90,98.40
10.00,0.00,2182.43,0.03,0.65,0.01,180.00,HBEFA3/PC_G_EU4,0.00,696.11,3,E5_0,63.82,60.44,!3,12.90,taxi,0.00,98.40,139.56
10.00,110.37,7412.24,0.68,3.14,0.15,0.00,HBEFA3/PC_G_EU4,0.00,2364.14,4,-E7_0,68.77,48.71,!4,12.14,taxi,0.00,101.60,-51.29
10.00,132.57,5957.96,0.75,2.59,0.12,90.00,HBEFA3/PC_G_EU4,0.00,1900.32,7,E1_0,68.32,18.70,!7,6.80,taxi,0.00,18.70,98.40
10.00,147.47,3089.80,0.74,1.38,0.07,180.00,HBEFA3/PC_G_EU4,0.00,985.55,9,E4_0,63.49,6.68,!9,1.58,taxi,0.00,98.40,293.32
11.00,164.78,2624.72,0.81,1.20,0.07,0.00,HBEFA3/PC_G_EU4,0.00,837.22,11,-E6_0,55.94,5.10,!11,0.00,taxi,0.00,101.60,5.10
11.00,0.00,1899.07,0.00,0.50,0.00,90.00,HBEFA3/PC_G_EU4,0.00,605.73,2,E2_0,64.26,79.54,!2,13.84,taxi,0.00,186.74,98.40
11.00,0.00,1985.37,0.01,0.56,0.00,180.00,HBEFA3/PC_G_EU4,0.00,633.26,3,E5_0,63.62,73.26,!3,12.82,taxi,0.00,98.40,126.74
11.00,86.84,6698.23,0.56,2.77,0.13,0.00,HBEFA3/PC_G_EU4,0.00,2136.41,4,-E7_0,68.02,62.11,!4,13.40,taxi,0.00,101.60,-37.89
11.00,98.31,5067.50,0.57,2.14,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1616.30,7,E1_0,65.72,26.89,!7,8.19,taxi,0.00,26.89,98.40
