tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
17.00,E1_0,92.80,13.45,7.00,0.00,E1_0,5.10,0.00,tripinfo_7 emissions_7,10.00,7,0,87.70,1.04,0.00,3.19,taxi,,0,0.00,50274.101385,927.737335,5.415416,21.153258,0.965540,0,16035.131645
20.00,E3_0,100.00,13.83,2.00,0.00,E2_0,5.10,0.00,tripinfo_2 emissions_2,18.00,2,0,187.80,1.03,0.00,4.24,taxi,,0,0.00,69804.152866,1127.781756,6.646776,27.888483,1.173998,0,22264.415430
23.00,-E1_0,92.80,13.44,3.00,0.00,E5_0,5.10,0.00,tripinfo_3 emissions_3,20.00,3,0,189.53,0.97,0.00,5.37,taxi,,0,0.00,82921.536203,1457.523280,8.556565,34.676563,1.563336,0,26448.148450
34.00,E2_0,92.80,12.38,14.00,0.00,E5_0,5.10,0.00,tripinfo_14 emissions_14,20.00,14,0,194.70,0.97,0.00,4.27,taxi,,0,0.00,77731.769899,1414.052614,8.247366,32.634896,1.486195,0,24792.859215
44.00,-E0_0,100.00,12.86,9.00,0.00,E4_0,5.10,0.00,tripinfo_9 emissions_9,35.00,9,0,389.73,1.02,0.00,6.15,taxi,,0,0.00,118158.137054,1741.789349,10.524017,46.938874,1.949553,0,37687.135160
45.00,E5_0,92.80,11.90,32.00,0.00,E5_0,12.10,0.00,tripinfo_32 emissions_32,13.00,32,0,80.70,1.00,0.00,6.88,bus,,0,0.00,255113.521363,436.000367,87.033158,2035.892055,45.946933,0,80722.709983
47.00,E2_0,92.80,13.62,18.00,0.00,E4_0,5.10,0.00,tripinfo_18 emissions_18,29.00,18,0,294.80,1.01,0.00,6.67,taxi,,0,0.00,101727.968237,1643.055299,9.874052,41.765446,1.826845,0,32446.565848
49.00,-E1_0,92.80,14.11,11.00,0.00,-E6_0,5.10,0.00,tripinfo_11 emissions_11,38.00,11,0,194.70,1.02,0.00,23.26,taxi,,1,13.00,138255.528985,4275.421144,22.693458,59.571671,2.867702,0,44098.016716
51.00,E3_0,100.00,12.55,12.00,2.00,E4_0,5.10,0.00,tripinfo_10 emissions_10,39.00,10,0,394.90,0.92,0.00,6.70,taxi,,0,0.00,116577.536308,1786.086907,10.772996,46.440504,1.886654,0,37183.075193
53.00,E3_0,100.00,12.45,15.00,0.00,E4_0,5.10,0.00,tripinfo_15 emissions_15,38.00,15,0,394.90,0.93,0.00,6.24,taxi,,0,0.00,118201.403434,1620.335834,9.954347,45.893883,1.771366,0,37701.069223
55.00,-E1_0,92.80,12.91,13.00,0.00,-E2_0,5.10,0.00,tripinfo_13 emissions_13,42.00,13,0,194.90,0.94,0.00,26.99,taxi,,1,18.00,143796.610653,5002.907069,26.163712,62.206849,3.016801,0,45865.719247
