tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
64.00,531912914#0_0,92.07,20.44,41.00,0.00,370241717#2_0,2.63,0.00,tripinfo_41 emissions_41 fcd_41,23.00,41,0,266.00,0.97,0.00,9.98,t_2,,0,0.00,139527.950399,2342.774890,14.022652,59.217543,2.852126,0,44502.718224
69.00,561831375#0_0,86.12,13.84,16.00,0.00,31921410#2_0,0.20,0.00,tripinfo_16 emissions_16 fcd_16,53.00,16,0,319.65,1.00,0.00,26.06,t_0,,2,12.00,713013.292817,1355.440681,291.493679,5904.882691,142.066889,0,225600.660491
78.00,24612009#2_0,0.34,13.13,12.00,0.00,534553368#1_0,3.07,0.00,tripinfo_12 emissions_12 fcd_12,66.00,12,0,455.83,0.98,0.00,43.08,t_2,,2,20.00,241242.300409,6940.936613,37.301462,104.321288,5.101342,0,76946.284339
93.00,24360382#3_0,0.20,14.04,39.00,0.00,24360576#2_0,0.20,0.00,tripinfo_39 emissions_39 fcd_39,54.00,39,0,569.86,1.07,0.00,12.19,t_1,,0,0.00,254458.628197,8766.610670,40.398547,53.880371,14.132036,0,81170.593386
105.00,173677133#0_0,0.20,13.42,1.00,0.00,24360702#5_0,0.20,0.00,tripinfo_1 emissions_1 fcd_1,104.00,1,0,995.38,1.00,0.00,28.38,t_0,,0,0.00,1782745.423627,2788.654277,554.020074,13776.120974,297.702262,0,564142.133001
106.00,24650052#9_0,0.20,12.04,47.00,0.00,-24681474#1_0,2.30,0.00,tripinfo_47 emissions_47 fcd_47,59.00,47,0,668.87,1.06,0.00,11.14,t_1,,0,0.00,279859.391429,9127.937953,42.451025,59.610914,14.950316,0,89272.993093
113.00,273360351#7_0,120.76,13.32,53.00,0.00,-35972438#7_0,5.10,0.00,tripinfo_53 emissions_53 fcd_53,60.00,53,0,643.20,0.98,0.00,12.54,t_2,,0,0.00,205127.822107,3075.303139,18.645362,83.346453,3.590666,0,65426.332663
117.00,31922232#2_0,14.29,9.83,7.00,0.00,420385362#2_0,2.30,0.00,tripinfo_7 emissions_7 fcd_7,110.00,7,0,1022.79,0.86,0.00,23.20,t_1,,0,0.00,396781.608790,14002.923131,63.592435,84.908528,21.893060,0,126570.611278
118.00,425205867#2_0,158.86,11.55,15.00,0.00,428066862#1_0,2.30,0.00,tripinfo_15 emissions_15 fcd_15,103.00,15,0,1333.89,0.94,0.00,19.74,t_1,,0,0.00,478661.620536,16101.234592,74.986935,100.252161,26.470242,0,152689.162486
120.00,24611808#6_0,0.20,2.23,21.00,0.00,160695140#8_0,12.10,0.00,tripinfo_21 emissions_21 fcd_21,99.00,21,0,926.12,1.00,0.00,34.65,t_0,,0,0.00,1910877.159413,2893.597699,554.282694,14623.721830,309.196644,0,604691.317887
126.00,425426453#4_0,0.20,5.90,111.00,0.00,31921706#4_0,5.10,0.00,tripinfo_111 emissions_111 fcd_111,15.00,111,0,92.77,0.99,0.00,2.63,t_2,,0,0.00,34835.809745,870.991955,4.773843,14.586384,0.629279,0,11111.200521
133.00,427691216#19_1,75.90,9.69,86.00,0.00,291083099#1_0,2.30,0.00,tripinfo_86 emissions_86 fcd_86,47.00,86,0,423.57,0.83,0.00,8.33,t_1,,0,0.00,172523.033047,6086.339379,27.680253,36.966902,9.536259,0,55033.802787
136.00,-24611999#2_0,0.20,12.42,4.00,0.00,24717701#1_0,2.30,0.00,tripinfo_4 emissions_4 fcd_4,132.00,4,0,1163.11,1.00,0.00,56.97,t_1,,1,33.00,642088.086771,27772.577105,121.372511,134.852281,40.721084,0,204822.911602
145.00,24361011#5_0,58.55,11.26,23.00,0.00,-31921652#2_0,0.28,0.00,tripinfo_23 emissions_23 fcd_23,122.00,23,0,1139.93,0.87,0.00,25.71,t_1,,0,0.00,442268.436757,14790.907216,67.764823,95.655569,23.366025,0,141080.446601
152.00,1218176805#0_0,0.20,3.20,87.00,0.00,428066862#2_0,12.10,0.00,tripinfo_87 emissions_87 fcd_87,65.00,87,0,220.46,1.00,0.00,47.37,t_0,,1,29.00,665000.965334,1476.397207,319.104263,5874.530704,151.893769,0,210371.999823
155.00,31280190#0_0,0.20,6.09,48.00,0.00,895037920#0_0,0.20,0.00,tripinfo_48 emissions_48 fcd_48,107.00,48,0,1195.64,1.17,0.00,23.25,t_1,,0,0.00,519057.523718,18064.055110,82.782491,109.943606,28.930215,0,165575.624271
156.00,409673591#0_0,0.20,5.77,27.00,0.00,416005331#0_0,0.20,0.00,tripinfo_27 emissions_27 fcd_27,129.00,27,0,935.21,1.00,0.00,60.34,t_0,,2,24.00,1931766.518096,3317.700997,673.509208,15430.747106,350.100134,0,611252.877568
